Country,Region,happinessVery,happinessQuite,artInactive,artActive,environmentInactive,environmentActive,unionInactive,unionActive,politicalInactive,politicalActive,professionalInactive,professionalActive,religiousInactive,religiousActive,sportInactive,sportActive,otherInactive,otherActive
Average,Average,23.7,51.6,9.9,8.6,8.5,3.4,16.7,5.2,10.8,4.8,8.6,6,20.2,17.9,12.5,12.5,7.9,5.3
Albania,Europe,3.1,30.3,6,3.3,1.1,0.8,7.4,1.6,20.4,13.1,6.9,4.9,16.2,4.8,5.7,5.1,5,0.4
Azerbaijan,Asia,11,65.6,5.6,2.1,0.5,0.2,25.5,2.8,4.5,1.8,2,0.8,2.8,1.5,5.6,1.5,0.4,0
Argentina,South America,28.8,52.8,4.6,9.9,3.1,2.5,4.2,1.8,7.1,3.1,3,5,19.3,14.6,7.9,7.9,1.5,4
Australia,Oceania,42.8,51.5,12.1,25.7,10.8,6.8,11.1,11.9,6.9,2.4,9.5,19.5,25.7,21.7,15.5,37.2,6.2,15.5
Bangladesh,Asia,18,66.8,4.4,17.7,3.8,5.8,3.4,3.7,7.9,11,4.1,9.2,9.8,23.8,8.4,16.5,4.6,12.6
Armenia,Asia,6,48.8,91.5,8.2,98.4,1.1,98.4,1.2,98.5,1.1,97.2,2.4,94.4,1.5,94.5,5.1,99.2,0.4
Brazil,South America,22,60.9,6.7,11.4,8,6.2,8,9.8,7.1,7.2,6.3,10.5,30.7,30.9,12.6,13.2,5.4,7.6
Bulgaria,Europe,9,46.5,1.8,1.7,0.8,0.2,8,4.9,3.5,2.2,1.7,0.6,2.3,0.8,2.1,1.7,0.9,0.5
Belarus,Europe,4.2,40.7,3.4,1.6,1.4,0.5,40.4,2.4,1.4,0.4,1.9,0.1,5.5,2.3,4.5,1.9,0.6,0.6
Chile,South America,27,52.7,16.2,12.8,14.5,3.9,13.2,5.6,13.5,2.8,11.7,7,30.3,28.1,19.1,16.2,14,5.4
China,Asia,22.7,60.9,6,5.7,2.6,2.4,15.3,5.9,7.8,6.4,3.7,2.3,null,null,6.1,10.1,12.7,2.1
Taiwan,Asia,29.7,60.9,5.5,4,6.3,1.4,16.8,8.6,11,3.3,4.4,2.4,17.8,7.9,9.4,3.7,9.2,4.1
Colombia,South America,47.1,37.2,3.7,2.9,2.3,4.2,2.2,3.8,5.2,6,2.2,5.1,15.3,28.5,5,13.7,1.2,3.3
Croatia,Europe,8.4,61,7.7,6.6,4,1.4,20.2,6,6.7,2.8,9.1,6.1,38.3,16.2,11.4,10.6,3.4,4.2
Czech Rep.,Europe,8.9,73.8,5.5,3.4,3.4,1.5,12.4,3.2,4.2,2.5,5.3,3.6,11.9,4.7,12.4,11.2,9.5,7.8
Dominican Rep.,South America,31.9,40.5,15.6,23.7,14.4,9.1,15.8,7.4,22.5,10.8,16.5,17.7,37.6,36.2,23.5,17,17,15.8
El Salvador,South America,55.6,36.4,3.3,9.9,null,null,1.2,1,1.6,2.2,1.6,4.7,15.9,40.4,3.6,11.7,1,4.1
Estonia,Europe,4.6,59.1,5.7,5.2,2,0.4,11.8,1.2,1.4,0.6,4.1,1.3,9.1,2.4,8.3,5.8,1.1,1.4
Finland,Europe,23.7,67.5,12.6,8.4,6.6,1.1,46.7,4.4,7.4,2.4,7.8,1.5,72.6,9.4,18.6,12.9,12.6,8.7
Georgia,Asia,11.6,53.6,3.3,3.1,0.3,0.2,2.7,0.7,1.5,2,1,1.1,0.8,0.6,1.7,1,0.4,0.3
Germany,Europe,17.9,62.6,5.9,10.5,6.2,2.1,14,7.1,3,3.3,8.6,4.5,25.1,12,10.8,28.4,7,9.5
