Country;happinessVery;happinessQuite;artInactive;artActive;environmentInactive;environmentActive;unionInactive;unionActive;politicalInactive;politicalActive;professionalInactive;professionalActive;religiousInactive;religiousActive;sportInactive;sportActive;otherInactive;otherActive
Average;32.5;51.1;8.5;7.1;6.6;3.1;9.3;4.3;9.5;4.4;7;4.4;15.1;17.8;10.5;10.8;4.9;3.7
Algeria;17.6;57.9;3.5;2.9;1.4;0.9;2.4;1.5;2.1;1;2;0.8;5.2;3.1;5.9;5.4;1.4;1.1
Azerbaijan;27.2;53.4;1.1;1.1;0.2;0.3;3.7;1.3;6.8;3.4;0.9;0.5;1.1;1.8;1.7;0.3;0.3;0.3
Argentina;33.3;53.1;8.9;7.8;8;2.4;8.4;1.5;8;2.3;7.2;3.1;21.3;17;11.5;9.4;1.7;1.1
Australia;34.9;57.7;13.3;16.9;10.2;4.2;11.9;9;8.1;1.9;12.6;13.6;25.7;14.9;19.3;31.6;2.2;4.4
Armenia;31.2;50.8;1;1.5;0.7;0.5;1.2;0.6;8;2.1;0.8;1.3;1.4;1.3;1.8;1.1;0.7;0.7
Brazil;35.2;56.8;2.4;7.1;2;2.4;6;7.7;3.5;2.5;3.3;6.4;21.6;49.5;2.8;8.9;0.8;1.9
Belarus;10.6;53.1;3.4;2.9;0.7;0.3;38.2;6.2;1.3;0.5;3.7;1.7;5.6;5.1;4.5;4.4;3.1;1.4
Chile;24.4;60.1;8.9;8.6;6.7;1.6;8.3;5;7.9;1.7;7.3;1.3;15.5;23.1;9.5;18.2;7.3;4.6
China;15.7;68.8;6;1.3;1.9;0.5;6.2;0.8;5.4;1.5;1.7;0.3;3.5;0.9;7.2;2.2;0.6;0.1
Taiwan;26;63.9;26;14;18.4;9.7;23.7;8.2;18.4;2.9;22.4;11;28.3;16.1;25.4;26;null;null
Colombia;56.5;35;9.1;14.8;6.8;9.5;5.4;2.4;6.7;3.6;5.7;8.5;18.6;49.1;12.2;16.7;1.8;4.2
Cyprus;25.9;55.8;6.7;4.9;5.2;3.1;8;5.8;12.6;7.6;4.4;5.4;10.7;9.6;10.2;12.1;2.9;1.6
Ecuador;57.7;35.3;3;4.3;1.2;2.2;1.5;1.9;2.4;2.8;3.9;3.6;20.6;15.3;8.1;7.6;1.1;1.7
Estonia;12.7;64;6.2;8.3;1.6;0.7;5.5;1;5;1;4.4;3.3;10.4;3.8;7.8;10.6;2.3;5.1
Georgia;21.5;48.1;0.9;0.9;0.2;0.2;0.6;0.3;1.2;0.5;0;0.5;14.1;6.9;0.5;0.5;0.4;0.2
Palestine;10.3;64.1;8.7;3.9;6.9;1.5;9.5;3.1;10.9;7.9;8;2.7;12.1;5.5;10.2;7;3.7;0.7
Germany;23.1;60.9;6.4;8.2;4.4;2.4;8.5;3.5;4.6;2.8;5.3;3.3;34.2;14.1;11;26.4;null;null
Ghana;51;29.8;11.1;12.7;8.8;5.4;11;6.3;27.1;12.1;5.6;6.6;24.3;69.2;13.1;14.4;4.6;4.1
Haiti;31.7;51.8;1.4;1.3;0.1;0.5;0.6;0.4;0.9;2.4;0.4;0.8;28.7;9.6;1.2;1.7;1.2;1.3
Hong Kong;23.4;65.7;16.7;10.5;12.2;8;13.3;5.4;8.8;3.4;15.5;4.7;19.9;12.5;16.5;15.6;11.3;4.8
India;37.4;50;10.5;7.5;8.7;4.8;10.8;6.3;14.3;8.4;9;5.7;17.1;14;12.5;7.8;6.3;7.5
Iraq;10.5;57.5;1.9;1.6;0.8;0.8;1.6;0.8;1.2;1.9;2.6;1.3;3;7;2.8;3.6;0.1;0.1
Japan;32.3;54.2;4.7;7.3;2.3;1;8.4;1.9;4;1.2;6.1;3.7;8.1;3.7;6.9;14.4;4.2;6.8
Kazakhstan;31.2;57.3;4.9;4.4;2.7;1.8;7.5;1.8;5.9;2.4;3.2;1.9;5.7;2.8;7.5;4.1;3.3;1.1
Jordan;20.8;65;4.8;0.7;4.7;0.7;4.8;0.5;4.5;0.3;5.5;1.8;6;4.8;5.3;2.9;0.3;0.2
South Korea;15.2;74.8;16.7;5.7;5.8;2.6;5.1;1.6;4.8;0.7;5.6;3.6;18.7;22.5;16.6;10;13.7;6.4
Kuwait;41.3;50.3;6.9;5.3;6.4;2.6;null;null;null;null;11.8;7.2;9.2;13.6;10.4;10.7;1.5;1.6
Kyrgyzstan;36.2;59.7;11.2;9.3;8.3;4.3;13;9.7;14.2;6.3;8.5;5.5;11;8.2;13.4;11.8;7.1;5.2
Lebanon;17.9;60.4;13.1;10.9;10.6;5.8;11.3;5.9;14.4;7.8;11.9;5.3;12.2;10.1;15.8;9.5;0.7;1
Libya;38.5;49;5.6;5.2;4.7;3.4;5;6.2;4.3;1.5;5.1;5.8;5.2;3.6;8.5;7.9;3;3.7
Malaysia;56.5;39.5;6.9;4.5;6.2;3.1;8.7;6.2;12.4;4.6;5.6;2.2;12.3;14.5;8.8;6.5;3.8;2
Mexico;67.5;26.8;10.4;12.4;7.4;7.1;7.7;6.3;10.2;8.2;7;9.8;29.1;37.6;14;18;5.5;3.7
Morocco;21;57.3;2;2.7;0.9;0.5;1.6;0.9;1.9;1.2;1.3;2.2;1.8;1.5;2.5;6.1;1.2;3.4
Netherlands;31.9;60.5;8.5;12.8;9.8;1;15.4;3.3;4.4;1.2;7.5;1.9;18.8;10.9;9.3;36.4;1.4;3.5
New Zealand;33.7;58.7;14.3;23.4;10.6;8.3;9.2;8.6;11.9;3.1;14.3;18.1;24.7;18.4;18.2;37;9.2;18
Nigeria;55.6;29.1;15.6;14.2;15.6;7.1;14.2;6.7;25.4;12;9.8;7.8;13;78.7;23.1;14;14.6;8.9
Pakistan;45.6;39.1;4;0.7;3.3;0.9;4.5;2.5;4.8;3.1;2.3;1.2;6.4;9.1;6.2;3.2;1.6;0.4
Peru;35.1;40.9;7;9.7;3.4;3.9;1.6;2.9;3;1.8;4;3.7;25.4;21.1;7.8;12.8;0.2;1.7
Philippines;49.6;39.8;12.2;12.4;13.2;15.5;10.5;9.8;11.9;9.5;10.5;9.1;22.7;37.5;17.8;14.3;10;10.9
Poland;22.2;70.4;4.9;6;3;1.6;7;4.3;3.1;1.1;3.9;3.3;12;15.2;6.4;6;1.7;3.7
Qatar;56.4;41.6;7.6;6.1;7.7;5.5;null;null;null;null;null;null;11.9;7.2;12.6;8.9;4.2;5
Romania;13.6;55.4;3.1;4.1;2.7;1.3;3.9;4.4;4.6;2.9;2.8;2.3;8.6;10.7;4.2;5;2.1;1.3
Russia;14.8;58.5;2.1;1.5;0.9;0.4;8.6;2;2.3;0.5;1.9;1.4;4.1;2;3.9;2.4;1.8;1.4
Rwanda;40.6;49.8;24.7;11.9;20.4;3.7;21.8;14.9;27.8;14.5;17.2;10.3;39.2;29.2;31.3;16.6;27.7;7.5
Singapore;39.1;53.9;11.3;7.9;6.8;2.5;9.1;2.8;6.4;1.5;8;3.8;16.6;24.8;14.3;11.1;6;2.8
Slovenia;19.5;63.8;6.6;9.4;4.7;1.9;10.9;5.9;5.1;2;7;4.8;12.5;7.2;10.2;19.1;4.3;8
South Africa;39.3;37.1;29.6;10.2;29.2;6.6;27.3;8.5;31.9;12.5;27.2;7;25.4;56.2;29.8;15.6;27.8;7
Zimbabwe;39.4;39.5;16.2;7.8;10.1;3.6;10.3;3.1;31.2;13.4;8.8;4.7;23.2;68.1;19.5;13.2;5.5;3.6
Spain;15.5;70.9;4.1;3.5;1.7;0.3;2.9;2.8;2.9;0.8;2.3;1.1;10.6;6.6;5.4;7.9;1.8;1
Sweden;40.5;54.1;9.8;12.1;9.4;1.5;35.1;12.8;9.1;3;9.5;5.1;36.7;5.6;11.6;22.5;9.6;15.5
Thailand;39.7;53.3;10.8;9.9;9.7;6.4;8.2;4.3;6.9;4.4;11;4.5;13.6;15.2;12.4;13.3;1.8;3.6
Trinidad and Tobago;54.2;33.8;14.9;13.1;10.4;5;12;4.7;13.4;4.7;10.8;5.1;38.3;39.1;17.9;15.4;6.5;1.6
Tunisia;16.7;62.6;2;1.9;0.6;0.2;1.6;0.3;0.9;0.8;1.3;0.5;1;0.6;3.3;2.2;0;0.1
Turkey;37.5;46.3;1.5;1.6;0.8;1;0.7;1.5;2.4;2.4;1.1;0.9;1.3;1.1;2.7;1.5;0.6;0.5
Ukraine;16.1;52;2.8;1.6;1.1;0.3;11.8;2.7;3.5;1.2;2.5;0.7;7.6;4.3;3.7;3.7;2.1;0.8
Egypt;5.3;20.7;0.1;0.2;0;0.3;0;0.3;0.4;0.9;0.1;0.3;0.4;0.4;0;0.3;0;0
United States;36.1;53.5;10.6;13;12.8;4.7;8.8;7;28.8;14.5;14.6;12.2;28.3;34.5;12.3;14.5;7;8.9
Uruguay;34.2;51.8;3.7;7;1.6;0.5;3.3;4.1;4.3;1.9;1.6;2;10.6;12.6;5.8;8.3;0.8;2
Uzbekistan;64.5;31.5;7.7;5;1.7;1.1;0.9;1;1.4;0.9;0.5;0.9;2;2.2;1.1;1.8;0.6;0.6
Yemen;17.9;54.2;2.9;1;2.6;0.9;3.6;0.5;13.4;6.5;4.3;2.9;4.6;3.6;4.3;1;0;0
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
